dt_abertura,dt_aprovacao,dt_resolucao,dt_fechamento,cod_problema,id_solicitante,id_departamento,id_diretoria
2020-06-21 22:43:24,2020-06-23 07:43:24,2020-07-31 07:43:24,2020-08-01 16:43:24,78,1879,45,4
2020-02-08 20:28:07,2020-02-10 08:28:07,2020-02-19 08:28:07,2020-02-20 20:28:07,7,1427,55,7
2021-03-03 05:50:11,2021-03-04 07:50:11,2021-04-14 07:50:11,2021-04-15 09:50:11,7,1527,55,4
2021-01-15 10:13:49,2021-01-16 17:13:49,2021-04-08 17:13:49,2021-04-10 00:13:49,7,851,48,6
2020-12-12 17:53:59,2020-12-14 13:53:59,2021-02-24 13:53:59,2021-02-26 09:53:59,52,1940,45,2
2020-08-04 18:21:04,2020-08-06 12:21:04,2020-08-26 12:21:04,2020-08-28 06:21:04,3,839,48,9
2020-06-08 05:17:50,2020-06-10 03:17:50,2020-07-26 03:17:50,2020-07-28 01:17:50,14,155,56,6
2022-04-27 04:44:18,2022-04-27 09:44:18,2022-07-10 09:44:18,2022-07-10 14:44:18,14,1986,55,6
2020-05-15 01:18:53,2020-05-15 05:18:53,2020-06-30 05:18:53,2020-06-30 09:18:53,45,391,48,9
2021-10-17 10:23:09,2021-10-18 09:23:09,2022-01-12 09:23:09,2022-01-13 08:23:09,3,978,55,2
2020-02-19 08:56:40,2020-02-19 23:56:40,2020-02-29 23:56:40,2020-03-01 14:56:40,52,1669,48,6
2020-02-16 06:55:16,2020-02-17 15:55:16,2020-03-06 15:55:16,2020-03-08 00:55:16,3,609,56,2
2020-05-25 13:12:43,2020-05-25 19:12:43,2020-06-02 19:12:43,2020-06-03 01:12:43,78,1619,41,5
2020-12-05 15:24:53,2020-12-07 14:24:53,2021-02-24 14:24:53,2021-02-26 13:24:53,3,950,49,9
2020-12-27 10:13:37,2020-12-27 12:13:37,2021-03-14 12:13:37,2021-03-14 14:13:37,78,1964,47,4
2022-02-24 01:00:39,2022-02-25 17:00:39,2022-04-17 17:00:39,2022-04-19 09:00:39,78,692,56,11
2020-02-11 05:19:58,2020-02-12 14:19:58,2020-02-29 14:19:58,2020-03-01 23:19:58,3,118,55,5
2022-05-21 20:43:58,2022-05-22 21:43:58,2022-06-22 21:43:58,2022-06-23 22:43:58,7,1638,48,2
2020-11-04 21:12:18,2020-11-06 06:12:18,2020-12-07 06:12:18,2020-12-08 15:12:18,14,1535,49,6
2022-04-26 12:53:28,2022-04-27 10:53:28,2022-06-15 10:53:28,2022-06-16 08:53:28,7,689,41,11
2021-10-13 16:49:58,2021-10-14 19:49:58,2021-12-03 19:49:58,2021-12-04 22:49:58,25,1046,49,6
2020-12-08 10:37:20,2020-12-08 12:37:20,2021-02-24 12:37:20,2021-02-24 14:37:20,25,397,56,2
2021-11-28 19:43:38,2021-11-29 17:43:38,2022-02-27 17:43:38,2022-02-28 15:43:38,52,948,41,9
2021-03-08 03:42:05,2021-03-09 04:42:05,2021-04-13 04:42:05,2021-04-14 05:42:05,3,1483,47,5
